거래일시,사용자ID,결제수단,가맹점업종,거래금액,지역,연령대,거래상태
2024/09/13 15:38,U000993,신용카드,식음료,18581.0,서울,,성공
2024-02-25 08:27:00,U000337,신용카드,교통,3384.0,경기,30대,성공
2024-11-05 19:36:00,U001217,체크카드,여행,287344.0,서울,20대,성공
2024-11-02 05:57:00,U000100,체크카드,교통,5756.0,대구,40대,성공
2024-08-06 18:36:00,U001149,신용카드,식음료,12604.0,서울,30대,성공
2024-05-22 04:13:00,U000720,계좌이체,기타,3937.0,경기,60대 이상,성공
2024-01-31 14:49:00,U001979,계좌이체,식음료,11376.0,대구,10대,성공
2024-07-28 11:02:00,U003535,휴대폰결제,쇼핑,34047.0,경기,10대,성공
2024/07/13 11:24,U001425,신용카드,식음료,27101.0,서울,20대,성공
2024-03-08 19:58:00,U002915,신용카드,식음료,5163.0,서울,30대,성공
2024-02-09 17:25:00,U001621,계좌이체,쇼핑,29249.0,서울,20대,성공
2024-12-09 21:14:00,U002793,신용카드,쇼핑,115305.0,인천,10대,성공
2024-09-28 10:26:00,U001089,체크카드,교육,200505.0,경기,20대,성공
2024-06-20 20:43:00,U000973,신용카드,여행,78005.0,경북,30대,성공
2024-09-01 20:35:00,U002001,신용카드,쇼핑,64725.0,부산,20대,성공
2024-03-08 08:26:00,U002188, 신용카드 ,공과금,62404.0,경기,30대,성공
2024-05-18 03:28:00,U002799,계좌이체,문화/여가,10456.0,경남,50대,성공
2024-05-30 19:38:00,U000010,신용카드,식음료,24433.0,경기,50대,성공
2024-04-06 22:56:00,U002160,신용카드,기타,24776.0,서울,20대,성공
2024-02-06 11:08:00,U002796,신용카드,의료,27499.0,대구,20대,성공
2024-10-25 10:26:00,U000396,신용카드,쇼핑,14668.0,대구,,성공
2024-03-10 08:26:00,U000834, 신용카드 ,교통,9000.0,대구,40대,성공
2024-05-25 01:05:00,U003858,신용카드,식음료,17620.0,제주,30대,성공
2024/01/23 20:34,U001617,체크카드,교육,332377.0,경남,20대,성공
2024/02/18 20:53,U001709,신용카드,여행,392518.0,서울,40대,성공
2024-10-10 13:19:00,U000159,체크카드,공과금,108896.0,대구,20대,성공
2024-08-30 22:25:00,U002333,신용카드,쇼핑,7062.0,인천,40대,성공
2024-07-08 17:06:00,U003182, 신용카드 ,교육,153579.0,부산,20대,성공
2024-12-08 05:05:00,U000728,체크카드,기타,34348.0,대구,60대 이상,성공
