고객사ID,가입일,산업군,요금제,좌석수,월구독료,이탈여부
C00001,2023-07-26,제조,Basic,2,58000,1
C00002,2022-01-18,공공,Pro,4,396000,0
C00003,2024-03-27,의료,Pro,5,495000,1
C00004,2023-06-18,의료,Pro,5,495000,0
C00005,2023-12-17,IT/SW,Pro,5,495000,0
C00006,2023-02-15,유통/이커머스,Basic,1,29000,0
C00007,2023-07-02,의료,Pro,4,396000,0
C00008,2022-02-14,IT/SW,Basic,2,58000,0
C00009,2024-01-18,스타트업,Pro,4,396000,0
C00010,2022-05-21,의료,Basic,3,87000,0
C00011,2023-03-09,스타트업,Pro,10,990000,0
C00012,2023-09-19,스타트업,Enterprise,27,10530000,0
C00013,2023-04-30,교육,Basic,1,29000,1
C00014,2022-08-01,제조,Pro,2,198000,0
C00015,2022-11-06,교육,Basic,2,58000,0
C00016,2023-01-26,IT/SW,Pro,8,792000,0
C00017,2022-05-10,제조,Basic,1,29000,0
C00018,2023-05-07,금융,Pro,2,198000,0
C00019,2023-04-28,유통/이커머스,Pro,6,594000,0
C00020,2023-08-14,IT/SW,Basic,1,29000,0
C00021,2023-12-06,제조,Basic,1,29000,0
C00022,2022-03-27,IT/SW,Enterprise,36,14040000,0
C00023,2023-10-13,유통/이커머스,Basic,3,87000,0
C00024,2022-06-21,금융,Enterprise,41,15990000,1
C00025,2022-09-20,공공,Basic,3,87000,0
C00026,2024-01-25,교육,Enterprise,20,7800000,0
C00027,2022-06-15,금융,Basic,1,29000,0
C00028,2024-02-28,IT/SW,Basic,1,29000,0
C00029,2022-05-01,공공,Enterprise,28,10920000,0
C00030,2023-09-02,IT/SW,Basic,2,58000,0
C00031,2022-11-06,교육,Pro,4,396000,0
C00032,2023-03-15,스타트업,Pro,6,594000,0
C00033,2023-04-24,제조,Basic,1,29000,0
C00034,2024-01-28,교육,Basic,1,29000,0
C00035,2024-03-29,제조,Enterprise,27,10530000,0
C00036,2023-01-24,유통/이커머스,Enterprise,25,9750000,0
C00037,2023-01-08,교육,Basic,1,29000,1
C00038,2023-07-16,공공,Pro,4,396000,1
C00039,2023-06-09,공공,Pro,7,693000,0
C00040,2022-04-08,유통/이커머스,Pro,3,297000,1
C00041,2022-02-14,교육,Enterprise,22,8580000,0
C00042,2022-12-10,의료,Basic,3,87000,0
C00043,2023-08-19,IT/SW,Basic,1,29000,0
C00044,2024-03-17,스타트업,Pro,5,495000,0
C00045,2022-07-11,교육,Basic,1,29000,0
C00046,2023-07-03,유통/이커머스,Pro,4,396000,0
C00047,2024-04-07,유통/이커머스,Basic,1,29000,0
