기준월,지역,업종,총승인금액,총승인건수
2024-01,서울,식음료,124938349,3460
2024-01,서울,쇼핑,575759537,26627
2024-01,서울,교통,416772750,7737
2024-01,서울,문화/여가,334631852,6429
2024-01,서울,의료,513258442,16664
2024-01,서울,교육,784627030,27734
2024-01,서울,공과금,238229037,4741
2024-01,서울,여행,463105586,8317
2024-01,경기,식음료,449464907,8920
2024-01,경기,쇼핑,269325415,5618
2024-01,경기,교통,480706658,24434
2024-01,경기,문화/여가,437967654,7812
2024-01,경기,의료,199816166,6865
2024-01,경기,교육,398677846,7072
2024-01,경기,공과금,93830905,2585
2024-01,경기,여행,655618761,18723
2024-01,부산,식음료,132968002,2605
2024-01,부산,쇼핑,144332847,8244
2024-01,부산,교통,296839347,11742
2024-01,부산,문화/여가,126431537,5819
2024-01,부산,의료,73517276,1436
2024-01,부산,교육,439602606,12790
2024-01,부산,공과금,8264762,139
2024-01,부산,여행,293198795,18731
2024-01,인천,식음료,224700764,5340
2024-01,인천,쇼핑,86375130,1914
2024-01,인천,교통,69447381,2769
2024-01,인천,문화/여가,101790529,1968
2024-01,인천,의료,195822882,5125
2024-01,인천,교육,45091934,905
2024-01,인천,공과금,82199050,4290
2024-01,인천,여행,131480873,2889
2024-01,대구,식음료,15568794,523
2024-01,대구,쇼핑,139994290,4529
2024-01,대구,교통,69704725,3783
2024-01,대구,문화/여가,89238646,1536
2024-01,대구,의료,57984277,1543
2024-01,대구,교육,88727291,2086
2024-01,대구,공과금,183268017,3257
2024-01,대구,여행,129636923,7224
2024-01,대전,식음료,14008012,282
2024-01,대전,쇼핑,49223237,2018
2024-01,대전,교통,23653734,592
2024-01,대전,문화/여가,79635919,2493
2024-01,대전,의료,55175099,2659
2024-01,대전,교육,66660758,3423
2024-01,대전,공과금,83380004,2260
2024-01,대전,여행,60431414,3892
2024-01,광주,식음료,70046702,1237
2024-01,광주,쇼핑,28314746,760
2024-01,광주,교통,28693589,661
2024-01,광주,문화/여가,36128651,999
2024-01,광주,의료,9992350,176
2024-01,광주,교육,69522472,1664
2024-01,광주,공과금,37865681,956
2024-01,광주,여행,34720414,795
2024-01,울산,식음료,56347725,1186
2024-01,울산,쇼핑,21348939,359
2024-01,울산,교통,36034356,821
2024-01,울산,문화/여가,53844925,1436
2024-01,울산,의료,26295658,934
2024-01,울산,교육,37051185,1216
2024-01,울산,공과금,36335922,687
2024-01,울산,여행,102290449,4543
2024-01,세종,식음료,21737905,987
2024-01,세종,쇼핑,20800535,353
2024-01,세종,교통,10827507,305
2024-01,세종,문화/여가,12916753,485
2024-01,세종,의료,25839495,1010
2024-01,세종,교육,31137657,842
2024-01,세종,공과금,24440369,683
2024-01,세종,여행,15881872,1028
2024-01,강원,식음료,61032467,3218
2024-01,강원,쇼핑,18973277,764
2024-01,강원,교통,64297525,1335
2024-01,강원,문화/여가,36777784,874
2024-01,강원,의료,13693452,340
2024-01,강원,교육,25796890,758
2024-01,강원,공과금,18392535,425
2024-01,강원,여행,40790719,2181
2024-01,충북,식음료,65578069,2563
2024-01,충북,쇼핑,36465036,638
2024-01,충북,교통,7083938,131
2024-01,충북,문화/여가,58726779,1506
2024-01,충북,의료,35370621,829
2024-01,충북,교육,40128167,847
2024-01,충북,공과금,45723878,2410
2024-01,충북,여행,69830503,1790
2024-01,충남,식음료,51665213,3098
2024-01,충남,쇼핑,30903677,817
2024-01,충남,교통,21939954,736
2024-01,충남,문화/여가,38362958,1187
2024-01,충남,의료,79350515,1345
2024-01,충남,교육,70138622,3368
2024-01,충남,공과금,28448440,657
2024-01,충남,여행,31808853,900
2024-01,전북,식음료,45294829,858
2024-01,전북,쇼핑,54799336,1790
2024-01,전북,교통,44485031,2014
2024-01,전북,문화/여가,18321521,415
2024-01,전북,의료,25032425,432
2024-01,전북,교육,71858976,2688
2024-01,전북,공과금,87084672,2991
2024-01,전북,여행,11412108,303
2024-01,전남,식음료,23389268,812
2024-01,전남,쇼핑,16518302,487
2024-01,전남,교통,32306372,579
2024-01,전남,문화/여가,17291581,565
2024-01,전남,의료,102772392,3327
2024-01,전남,교육,8807250,291
2024-01,전남,공과금,33937357,2106
2024-01,전남,여행,21070138,464
2024-01,경북,식음료,43256349,2572
2024-01,경북,쇼핑,38201269,647
2024-01,경북,교통,57707387,1142
2024-01,경북,문화/여가,94607339,2897
2024-01,경북,의료,69932829,1305
2024-01,경북,교육,98088731,6001
2024-01,경북,공과금,78908630,2586
2024-01,경북,여행,41260450,1352
2024-01,경남,식음료,193158996,4544
2024-01,경남,쇼핑,47899023,3061
2024-01,경남,교통,154969438,3266
2024-01,경남,문화/여가,10202722,374
2024-01,경남,의료,71149644,3244
2024-01,경남,교육,37470375,700
2024-01,경남,공과금,67850392,1144
2024-01,경남,여행,30883473,636
2024-01,제주,식음료,51855643,1222
2024-01,제주,쇼핑,11782144,446
2024-01,제주,교통,2180868,81
2024-01,제주,문화/여가,59547654,2109
2024-01,제주,의료,76056307,1282
2024-01,제주,교육,60053855,2074
2024-01,제주,공과금,12055511,206
2024-01,제주,여행,41463103,1188
2024-02,서울,식음료,416390214,15955
2024-02,서울,쇼핑,483220958,22996
2024-02,서울,교통,378953992,13392
2024-02,서울,문화/여가,121641044,2086
2024-02,서울,의료,931285266,18142
2024-02,서울,교육,562118614,12657
2024-02,서울,공과금,490638515,16018
2024-02,서울,여행,532522789,10508
2024-02,경기,식음료,425273281,27331
2024-02,경기,쇼핑,125575577,3526
2024-02,경기,교통,388220281,9190
2024-02,경기,문화/여가,422470957,7767
2024-02,경기,의료,159081637,4634
2024-02,경기,교육,486734550,8866
2024-02,경기,공과금,960584233,16853
2024-02,경기,여행,597169886,33816
2024-02,부산,식음료,241591512,6385
2024-02,부산,쇼핑,90118490,1908
2024-02,부산,교통,127935892,2328
2024-02,부산,문화/여가,57025493,3372
2024-02,부산,의료,274589973,12077
2024-02,부산,교육,67848457,1150
2024-02,부산,공과금,197617668,10386
2024-02,부산,여행,264572869,4630
2024-02,인천,식음료,67896955,3285
2024-02,인천,쇼핑,91511585,3856
2024-02,인천,교통,226329780,11352
2024-02,인천,문화/여가,75060650,1369
2024-02,인천,의료,153917954,2832
2024-02,인천,교육,131108920,5750
2024-02,인천,공과금,142146036,2391
2024-02,인천,여행,72167552,1956
2024-02,대구,식음료,34569670,1224
2024-02,대구,쇼핑,145428806,3060
2024-02,대구,교통,124025108,2829
2024-02,대구,문화/여가,61222767,1322
2024-02,대구,의료,87888418,1917
2024-02,대구,교육,83852515,1430
2024-02,대구,공과금,43366001,2581
2024-02,대구,여행,34498256,902
2024-02,대전,식음료,24716311,523
2024-02,대전,쇼핑,69151896,2913
2024-02,대전,교통,29754223,517
2024-02,대전,문화/여가,95951960,2163
2024-02,대전,의료,32340196,683
2024-02,대전,교육,39045294,1550
2024-02,대전,공과금,38019270,681
2024-02,대전,여행,51880920,876
2024-02,광주,식음료,85416027,1424
2024-02,광주,쇼핑,66396835,1494
2024-02,광주,교통,48652964,938
2024-02,광주,문화/여가,116654001,6966
2024-02,광주,의료,57962241,1481
2024-02,광주,교육,47111817,2823
2024-02,광주,공과금,44283150,981
2024-02,광주,여행,19495852,507
2024-02,울산,식음료,43982801,2238
2024-02,울산,쇼핑,37434832,1489
2024-02,울산,교통,76293233,3141
2024-02,울산,문화/여가,16710936,520
2024-02,울산,의료,26519608,824
2024-02,울산,교육,24359227,617
2024-02,울산,공과금,14724215,281
2024-02,울산,여행,17647822,338
2024-02,세종,식음료,6409299,295
2024-02,세종,쇼핑,10931151,186
2024-02,세종,교통,10424592,444
2024-02,세종,문화/여가,28444718,1881
2024-02,세종,의료,22446714,810
2024-02,세종,교육,12509966,389
2024-02,세종,공과금,35082338,614
2024-02,세종,여행,19798417,720
2024-02,강원,식음료,38578668,679
2024-02,강원,쇼핑,28749016,546
2024-02,강원,교통,114059384,5143
2024-02,강원,문화/여가,6459127,118
2024-02,강원,의료,41517215,1057
2024-02,강원,교육,55175284,1468
2024-02,강원,공과금,70438351,3214
2024-02,강원,여행,59218602,1031
2024-02,충북,식음료,63266721,1280
2024-02,충북,쇼핑,5932463,196
2024-02,충북,교통,47731438,818
2024-02,충북,문화/여가,29755796,784
2024-02,충북,의료,10169104,179
2024-02,충북,교육,33882361,861
2024-02,충북,공과금,13551550,372
2024-02,충북,여행,53302314,1918
2024-02,충남,식음료,98784644,2399
2024-02,충남,쇼핑,45497938,1275
2024-02,충남,교통,54329986,1312
2024-02,충남,문화/여가,70071271,2701
2024-02,충남,의료,49660465,894
2024-02,충남,교육,57158367,1050
2024-02,충남,공과금,38417595,1002
2024-02,충남,여행,56156023,1469
2024-02,전북,식음료,12952735,512
2024-02,전북,쇼핑,8476982,509
2024-02,전북,교통,24112233,431
2024-02,전북,문화/여가,31910342,901
2024-02,전북,의료,11857624,566
2024-02,전북,교육,47183399,863
2024-02,전북,공과금,47233487,1361
2024-02,전북,여행,42114243,2763
2024-02,전남,식음료,20875391,411
2024-02,전남,쇼핑,36297123,612
2024-02,전남,교통,71653389,2177
2024-02,전남,문화/여가,21101412,599
2024-02,전남,의료,33323742,744
2024-02,전남,교육,76128891,1367
2024-02,전남,공과금,15584053,302
2024-02,전남,여행,45048103,2587
2024-02,경북,식음료,45970678,1476
2024-02,경북,쇼핑,17523206,533
2024-02,경북,교통,42039848,710
2024-02,경북,문화/여가,96877580,1711
2024-02,경북,의료,79171731,3058
2024-02,경북,교육,97085157,3595
2024-02,경북,공과금,86844771,3250
2024-02,경북,여행,25937345,1510
2024-02,경남,식음료,40538730,1309
2024-02,경남,쇼핑,32885387,1095
2024-02,경남,교통,60205912,1236
2024-02,경남,문화/여가,94159880,1894
2024-02,경남,의료,53279306,1525
2024-02,경남,교육,52407460,3263
2024-02,경남,공과금,18053628,355
2024-02,경남,여행,107489894,3442
2024-02,제주,식음료,50594124,2263
2024-02,제주,쇼핑,6427689,368
2024-02,제주,교통,9419583,348
2024-02,제주,문화/여가,28936180,978
2024-02,제주,의료,61204218,1762
2024-02,제주,교육,58773939,1355
2024-02,제주,공과금,51220407,1585
2024-02,제주,여행,43296274,1142
2024-03,서울,식음료,455255373,18459
2024-03,서울,쇼핑,859951052,14852
2024-03,서울,교통,666330957,23470
2024-03,서울,문화/여가,955553764,34841
2024-03,서울,의료,559507440,9721
2024-03,서울,교육,545091570,25580
2024-03,서울,공과금,623244487,17345
2024-03,서울,여행,403029339,11195
2024-03,경기,식음료,538833278,9801
2024-03,경기,쇼핑,839468522,22621
2024-03,경기,교통,121452951,3103
2024-03,경기,문화/여가,377347067,24664
2024-03,경기,의료,665641693,11787
2024-03,경기,교육,1085751432,29219
2024-03,경기,공과금,611468308,15253
2024-03,경기,여행,319449368,7525
2024-03,부산,식음료,114375954,5582
2024-03,부산,쇼핑,115489673,4040
2024-03,부산,교통,34099926,842
2024-03,부산,문화/여가,97435958,4724
2024-03,부산,의료,134377156,6315
2024-03,부산,교육,166664703,5077
2024-03,부산,공과금,232580304,4112
2024-03,부산,여행,148798599,2632
