연월,거래금액_합계,거래건수,고객수,건당평균,전월대비증감(%),1위업종
2024-01,47840867.0,992,877,48227.0,,쇼핑
2024-02,45370905.0,941,862,48216.0,-5.16,여행
2024-03,54130881.0,991,870,54622.0,19.31,여행
2024-04,45027918.0,944,845,47699.0,-16.82,쇼핑
2024-05,51258732.0,963,858,53228.0,13.84,여행
2024-06,47370405.0,940,842,50394.0,-7.59,여행
2024-07,50119647.0,1032,908,48566.0,5.8,쇼핑
2024-08,46415176.0,980,876,47362.0,-7.39,여행
2024-09,45723535.0,960,842,47629.0,-1.49,쇼핑
2024-10,43194441.0,976,862,44257.0,-5.53,쇼핑
2024-11,50109649.0,995,889,50361.0,16.01,여행
2024-12,49663003.0,999,874,49713.0,-0.89,쇼핑
